name,word_ranking,asia_ranking,pakistani_ranking,city,type,acceptance,publication,web,language,phone,address
Abasyn University ,"7409 / 14,131","2880 / 5,830",98 / 175,Peshawar,For-profit,55%,352,abasyn.edu.pk,English,+92 (91) 258 2996,"Ring Road, Charsadda Link Peshawar, Khyber Pakhtunkhwa, 25000 Pakistan"
Abdul Wali Khan University Mardan,"3917 / 14,131","1313 / 5,830",21 / 175,Mardan,Non-profit,,"3,115",,English,+92 (937) 923 0640,"Toro Road Near sheikh Maltoon Town
 Mardan, Khyber Pakhtunkhwa, 23200 
Pakistan"
Aga Khan University,"1559 / 14,131","434 / 5,830",2 / 175,Karachi,Non-profit,,"7,475",www.aku.edu,English,+92 (21) 3493 0051,"Stadium Road, PO Box 3500
 Karachi, Sindh, 74800 
Pakistan"
Air University,"5473 / 14,131","1999 / 5,830",52 / 175,Islamabad,Non-profit,14%,"1,260",au.edu.pk,English,+92 (51) 920 5801,"E-9, PAF Complex
 Islamabad, Islamabad CT, 44000 
Pakistan"
Bacha Khan University ,"7300 / 14,131","2836 / 5,830",95 / 175,Peshawar,"Public-private
partnership",,471,bkuc.edu.pk,English,+92 (91) 654 0068,"PO Box 20
 Charsadda, Khyber Pakhtunkhwa 
Pakistan"
Bahauddin Zakariya University,"2862 / 14,131","896 / 5,830",9 / 175,Multan,Non-profit,,"4,756",bzu.edu.pk,English;Urdu,+92 (61) 921 0071,"Bosan Road
 Multan, Punjab, 60800 
Pakistan"
Bahria University,"4860 / 14,131","1725 / 5,830",36 / 175,Islamabad,Non-profit,,"2,236",www.bahria.edu.pk,English,+92 (51) 926 0812,"Shangrila Road, Sector E-8
 Islamabad, Islamabad CT, 44000 
Pakistan"
"Balochistan University of Information Technology, Engineering and Management Sciences","6322 / 14,131","2365 / 5,830",68 / 175,Quetta,Non-profit,25%,722,www.buitms.edu.pk,English,+92 (81) 288 0410,"Takatu campus, Airport Road, Baleli
 Quetta, Balochistan, 87300 
Pakistan"
Baqai Medical University ,"6519 / 14,131","2460 / 5,830",76 / 175,Karachi,Private,,509,baqai.edu.pk,English,+92 (21) 450 7653,"Gandap Road
 Karachi, Sindh, 74600 
Pakistan"
Beaconhouse National University ,"6667 / 14,131","2532 / 5,830",81 / 175,Lahore,Non-profit,,97,,English,+92 (42) 3810 0156,"Tarogil Campus 13 Km Off Thokar Niazbeg - Raiwind Road, Tarogil
 Lahore, Punjab, 54400 
Pakistan"
CECOS University ,"7193 / 14,131","2782 / 5,830",93 / 175,Peshawar,Bachelor,,,www.cecos.edu.pk,English,+92 (91) 586 0291,"Phase 6, Hayatabad
 Peshawar, Khyber Pakhtunkhwa 
Pakistan"
COMSATS Institute of Information Technology,"2526 / 14,131","758 / 5,830",8 / 175,Islamabad,Non-profit,35%,"17,977",comsats.edu.pk,English,+92 (51) 924 7000-3,"Park Road, Chak Shahzad
 Islamabad, Islamabad CT, 44000 
Pakistan"
Dawood University of Engineering and Technology ,"7072 / 14,131","2722 / 5,830",90 / 175,Karachi,"Public-private
partnership",55%,241,duet.edu.pk,English,+92 (21) 923 1195-98,"M.A. Jinnah Road
 Karachi, Sindh, 65010 
Pakistan"
DOW University of Health Sciences,"4186 / 14,131","1435 / 5,830",23 / 175,Karachi,Non-profit,55%,"3,027",www.duhs.edu.pk,English,+92 (21) 9921 5754 - 7,"Baba-e-Urdu Road
 Saddar Town, Sindh, 74200 
Pakistan"
Fatima Jinnah Medical University ,"6826 / 14,131","2599 / 5,830",82 / 175,Lahore,Private,"1,500",296,fjmu.edu.pk,English,+92 (42) 9920 0572,"Queen's Road
 Lahore, Punjab 
Pakistan"
Fatima Jinnah Women University,"4194 / 14,131","1440 / 5,830",24 / 175,Rawalpindi,Non-profit,55%,720,fjwu.edu.pk,English,,"The Mall
 Rawalpindi, Punjab, 46000 
Pakistan"
"Federal Urdu University of Arts, Sciences and Technology","5312 / 14,131","1938 / 5,830",47 / 175,Islamabad,Non-profit,,"1,218",fuuast.edu.pk,English;Urdu,+92 (21) 9924 4141-9,"MSC Block, Block 9
 Gulshan Town, Sindh, 75300 
Pakistan"
Forman Christian College,"4326 / 14,131","1490 / 5,830",27 / 175,Lahore,Non-profit,,768,www.fccollege.edu.pk,English,+92 (42) 923 1581,"Ferozepur Road
 Lahore, Punjab, 54600 
Pakistan"
Foundation University Islamabad,"5365 / 14,131","1959 / 5,830",49 / 175,Islamabad,Non-profit,,"2,118",fui.edu.pk,English,+92 (51) 578 8446,"Defense Avenue, Phase-I, DHA
 Islamabad, Islamabad CT, 44000 
Pakistan"
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology ,"4992 / 14,131","1788 / 5,830",39 / 175,Topi,Non-profit,5%,790,giki.edu.pk,English,+92 (938) 271 862,"Topi, Khyber Pakhtunkhwa, 23460 
Pakistan"
Gomal University,"5125 / 14,131","1844 / 5,830",44 / 175,Dera Ismail Khan,Non-profit,,"1,389",www.gu.edu.pk,English,+92 (966) 750 424-9,"NH 55
 Dera Ismail Khan, Khyber Pakhtunkhwa 
Pakistan"
"Government College for Women University, Sialkot ","7540 / 14,131","2939 / 5,830",100 / 175,Sialkot,"Public-private
partnership",58%,,www.gcwus.edu.pk,Urdu;English,+92 (52) 925 0170,"Kachehri Road
 Sialkot, Punjab 
Pakistan"
"Government College University, Faisalabad","3868 / 14,131","1291 / 5,830",19 / 175,Faisalabad,Non-profit,25%,"4,950",gcuf.edu.pk,English,+92 (41) 920 0886,"Kotwali Road
 Faisalabad, Punjab, 38000 
Pakistan"
"Government College University, Lahore","3498 / 14,131","1139 / 5,830",16 / 175,Lahore,Non-profit,,"3,160",gcu.edu.pk,English,+92 (42) 712 0028,"Lower Mall, Katchehri Road
 Lahore, Punjab, 54600 
Pakistan"
"Government College Women University, Faisalabad ","7336 / 14,131","2851 / 5,830",96 / 175,Faisalabad,"Public-private
partnership",,463,gcwuf.edu.pk,English,+92 (41) 922 0065,"Shafique Road
 Faisalabad, Punjab, 38000 
Pakistan"
Hamdard University,"5114 / 14,131","1838 / 5,830",43 / 175,Karachi,Non-profit,,"3,068",www.hamdard.edu.pk,English,+92 (21) 36440017,"Madinat al- Hikmah, Hakim Mohammad Said Road
 Karachi, Sindh, 74600 
Pakistan"
Hazara University,"5534 / 14,131","2024 / 5,830",53 / 175,Hazara,Non-profit,,"2,114",hu.edu.pk,English,+92 (987) 530 046,"Karakoram Hwy
 Dhodial, Khyber Pakhtunkhwa, 21300 
Pakistan"
HITEC University ,"6989 / 14,131","2681 / 5,830",88 / 175,Taxila,Non-profit,,653,hitecuni.edu.pk,English,+92 (51) 490 8145,"Khanpur Road
 Taxila, Punjab, 47080 
Pakistan"
"Indus University, Pakistan ","7153 / 14,131","2756 / 5,830",92 / 175,Karachi,Private,45%,313,indus.edu.pk,English,+92 (21) 3497 7457,"ST-2D, Block-17, Adjacent National Stadium Gulshan-e-Iqbal
 Karachi, Sindh 
Pakistan"
Information Technology University,"4115 / 14,131","1405 / 5,830",22 / 175,Lahore,Non-profit,375,"11,172",itu.edu.pk,English,+92 (42) 358 80062,"346-B, Ferozepur Road
 Lahore, Punjab, 54600 
Pakistan"
Institute of Business Administration ,"4248 / 14,131","1457 / 5,830",25 / 175,Karachi,Non-profit,7%,371,iba.edu.pk,English,+92 (21) 111 422,"University Road
 Karachi, Sindh, 75270 
Pakistan"
Institute of Space Technology,"5785 / 14,131","2130 / 5,830",58 / 175,Islamabad,Non-profit,,870,ist.edu.pk,English,+92 (51) 9075 1000,"PO Box 2750
 Islamabad, Islamabad CT, 44000 
Pakistan"
"International Islamic University, Islamabad","2912 / 14,131","912 / 5,830",10 / 175,Islamabad,Non-profit,,"4,841",iiu.edu.pk,Arabic;English,+92 (51) 926 1761,"PO Box 1243
 Islamabad, Islamabad CT, 44000 
Pakistan"
Iqra University,"5762 / 14,131","2118 / 5,830",57 / 175,Karachi,Private,,"1,082",iqra.edu.pk,English,+92 (21) 111 264 264,"Defence View, Shaheed-e-Millat Road
 Karachi, Sindh, 75500 
Pakistan"
Islamia College Peshawar,"5819 / 14,131","2148 / 5,830",59 / 175,Peshawar,Non-profit,,"1,241",icp.edu.pk,English,+92 (91) 921 6513-7,"Jamrud Road
 Peshawar, Khyber Pakhtunkhwa, 25120 
Pakistan"
Islamia University of Bahawalpur,"3473 / 14,131","1129 / 5,830",15 / 175,Bahawalpur,Non-profit,85%,"3,699",iub.edu.pk,English;Urdu,+92 (62) 925 0235,"Abbasia Campus
 Bahawalpur, Punjab 
Pakistan"
Isra University,"6374 / 14,131","2385 / 5,830",70 / 175,Hyderabad,Private,55%,969,isra.edu.pk,English,+92 (22) 203 0181-4,"Hala Road, PO Box 313
 Hyderabad, Sindh, 71000 
Pakistan"
Jinnah Sindh Medical University ,"5606 / 14,131","2055 / 5,830",55 / 175,Karachi,Non-profit,"1,500",571,jsmu.edu.pk,English,+92 (21) 9920 4776,"Rafiqi H J Road
 Karachi, Sindh 
Pakistan"
Jinnah University for Women ,"6828 / 14,131","2600 / 5,830",83 / 175,Karachi,Non-profit,,535,www.juw.edu.pk,English;Urdu,+92 (21) 6620615,"V-C Nazimabad
 Karachi, Sindh, 74600 
Pakistan"
Karachi Institute of Economics and Technology ,"6406 / 14,131","2403 / 5,830",72 / 175,Karachi,Private,55%,238,pafkiet.edu.pk,English,+92 (21) 3509 1114,"PAF-KIET, PAF Base Korangi Creek
 Karachi, Sindh, 75190 
Pakistan"
Karakurum International University ,"6516 / 14,131","2457 / 5,830",75 / 175,Gilgit,Non-profit,55%,451,www.kiu.edu.pk,English,,"Nomal Road
 Gilgit, Gilgit-Baltistan 
Pakistan"
