name,world_ranking,region_ranking,country_ranking,,,type,acceptance_rate,high_degree,publication,website,language,address,phone_no
Aarhus University,"#150 of 14,131","#44 of 2,785",#2 of 27,Denmark,Aarhus,Non-profit,46%,null,"89,633",www.au.dk,Danish;English,"Nordre Ringgade 1
 Aarhus, Central Denmark Region, 8000 
Denmark",+45 8942 1111
Autonomous University of Barcelona,"#203 of 14,131","#69 of 2,785",#3 of 75,Spain,Cerdanyola del Valles,Non-profit,75%,Doctorate,"74,922",www.uab.cat,Spanish;Catalan,"Campus de Bellaterra, Edificio A
 Cerdanyola del Vallès, Catalonia, 08193 
Spain",+34 935812222
Cardiff University,"#195 of 14,131","#66 of 2,785",#20 of 163,United Kingdom,Wales,Non-profit,20%,Doctorate,"75,474",www.cardiff.ac.uk,English,"Newport Road
 Cardiff, Wales, CF10 3AT 
United Kingdom",+44 (29) 2087 4000
Catholic University of Leuven,"#77 of 14,131","#13 of 2,785",#1 of 63,Belgium,Leuven,Non-profit,31%,Doctorate,"166,908",www.kuleuven.be,null,"Naamsestraat 22
 Leuven, Flemish Brabant, 3000 
Belgium",+32 (16) 324 311
Catholic University of Louvain,"#265 of 14,131","#97 of 2,785",#4 of 63,Belgium,Louvain-la-Neuve,Non-profit,34%,Master,"52,453",uclouvain.be,French,"Place de l'Université, 1
 Louvain-la-Neuve, Walloon Brabant, 1348 
Belgium",+32 (10) 472 111
Charles University,"#172 of 14,131","#57 of 2,785",#1 of 67,Czech Republic,Prague,Non-profit,35%,Doctorate,"66,210",cuni.cz,Czech;English;German;French,"Ovocný trh 560/5
 Prague, Prague, 116 36 
Czech Republic",+420 224 491 111
Complutense University of Madrid,"#144 of 14,131","#39 of 2,785",#2 of 75,Spain,Madrid,Non-profit,77%,Bachelor,"86,698",ucm.es,Spanish,"Avenida Séneca, 2
 Madrid, Community of Madrid, 28040 
Spain",+34 913944099
Delft University of Technology,"#140 of 14,131","#38 of 2,785",#3 of 58,Netherlands,Delft,Non-profit,65%,Master,"82,950",www.tudelft.nl,Dutch,"Stevinweg 1
 Delft, South Holland, 2628 CN 
Netherlands",+31 (15) 27 89111
Dresden University of Technology,"#214 of 14,131","#75 of 2,785",#18 of 369,Germany,Saxony,Non-profit,38%,Doctorate,"63,645",tu-dresden.de,German,"Mommsenstrasse 11
 Dresden, Saxony, 01069 
Germany",+49 (351) 4630
Durham University,"#178 of 14,131","#58 of 2,785",#17 of 163,United Kingdom,England,Non-profit,41%,Doctorate,"78,063",www.dur.ac.uk,English,"The Palatine Centre, Stockton Road
 Durham, North East England, DH1 3LE 
United Kingdom",+44 (191) 334 2000
Erasmus University Rotterdam,"#189 of 14,131","#64 of 2,785",#7 of 58,Netherlands,Rotterdam,Non-profit,45%,Bachelor,"81,477",www.eur.nl,Dutch;English,"Burgemeester Oudlaan 50
 Rotterdam, South Holland, 3062 PA 
Netherlands",+31 (10) 408 1111
Federal Institute of Technology Lausanne,"#120 of 14,131","#31 of 2,785",#3 of 23,Switzerland,Lausanne,Non-profit,21%,Doctorate,"87,775",www.epfl.ch,French;English,"Ecublens
 Lausanne, Vaud, 1015 
Switzerland",+41 (21) 693 1111
Free University Amsterdam,"#167 of 14,131","#53 of 2,785",#6 of 58,Netherlands,Amsterdam,Non-profit,39%,Doctorate,"68,328",vu.nl,Dutch;English,"De Boelelaan 1105
 Amsterdam, North Holland, 1081 HV 
Netherlands",+31 (20) 598 5000
Free University of Berlin,"#152 of 14,131","#46 of 2,785",#8 of 369,Germany,Brandenburg,Non-profit,15%,Doctorate,"60,237",www.fu-berlin.de,German;English,"Kaiserswerther Strasse 16-18
 Berlin, Berlin, 14195 
Germany",+49 (30) 8381
Ghent University,"#116 of 14,131","#30 of 2,785",#2 of 63,Belgium,Ghent,Non-profit,32%,Doctorate,"99,103",www.ugent.be,Dutch;English,"Sint-Pietersnieuwstraat 25
 Ghent, East Flanders, 9000 
Belgium",+32 (9) 264 3011
Heidelberg University - Germany,"#74 of 14,131","#12 of 2,785",#2 of 369,Germany,Baden-Wurttemberg,Non-profit,17%,null,"107,043",www.uni-heidelberg.de,German. English in selected programmes.,"Grabengasse 1
 Heidelberg, Baden-Wurttemberg, 69117 
Germany",+49 (6221) 540
Humboldt University of Berlin,"#153 of 14,131","#47 of 2,785",#9 of 369,Germany,Brandenburg,Non-profit,18%,Doctorate,"57,371",www.hu-berlin.de,German,"Unter den Linden 6
 Berlin, Berlin, 10099 
Germany",+49 (30) 2093 0
